match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8570511409,132,True,2104,22,7,106,1763790562,,5,10,8,53,0,1.0,1,2025-11-22 05:49:22
8570419236,131,True,2083,22,7,8,1763783822,,0,6,6,53,0,,1,2025-11-22 03:57:02
8568897442,131,False,2855,22,7,41,1763704955,,11,8,16,52,0,,2,2025-11-21 06:02:35
8568841434,128,True,3185,22,7,1,1763699899,,12,14,10,53,0,,1,2025-11-21 04:38:19
8567352813,0,True,4039,22,7,41,1763611015,,19,11,19,53,0,1.0,2,2025-11-20 03:56:55
8565981615,0,False,2785,22,7,49,1763531848,,8,5,6,53,0,1.0,3,2025-11-19 05:57:28
8565912597,132,True,2591,22,7,104,1763525363,,16,13,10,53,0,,1,2025-11-19 04:09:23
8564498928,1,False,2154,22,7,8,1763443806,,6,12,9,53,0,,1,2025-11-18 05:30:06
8564431049,3,False,2791,22,7,100,1763437606,,8,13,25,53,0,,1,2025-11-18 03:46:46
8562952514,0,False,4335,22,7,105,1763353911,,14,21,34,54,0,1.0,2,2025-11-17 04:31:51
8561111674,4,False,4560,22,7,1,1763266121,,21,11,14,53,0,,1,2025-11-16 04:08:41
