match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8612848763,3,False,2400,22,7,104,1766203438,,4,9,12,54,4,,1,2025-12-20 04:03:58
8612815448,130,True,2662,22,7,19,1766200419,,2,10,18,54,0,,1,2025-12-20 03:13:39
8611481752,4,False,2328,22,7,71,1766123872,,15,12,27,53,0,,1,2025-12-19 05:57:52
8611455053,4,True,2263,22,7,104,1766121212,,2,5,20,53,0,,1,2025-12-19 05:13:32
8611425516,132,True,2566,22,7,87,1766118262,,3,15,28,45,0,3.0,3,2025-12-19 04:24:22
8610056614,131,True,2466,22,7,14,1766030310,,9,13,16,52,0,3.0,1,2025-12-18 03:58:30
8610026147,3,False,2638,22,7,7,1766027240,,7,10,17,54,0,,3,2025-12-18 03:07:20
8604385410,3,False,3296,22,7,39,1765689543,,6,12,24,54,0,3.0,3,2025-12-14 05:19:03
8604346199,1,True,2573,22,7,26,1765686583,,6,12,22,52,0,,1,2025-12-14 04:29:43
8604312756,132,False,1850,22,7,30,1765683888,,11,6,19,55,0,,3,2025-12-14 03:44:48
