match_id,player_slot,radiant_win,duration,game_mode,lobby_type,hero_id,start_time,version,kills,deaths,assists,average_rank,leaver_status,party_size,hero_variant,start_time_iso
8660412202,2,True,2333,4,0,81,1769144328,,15,10,15,41,0,,2,2026-01-23 04:58:48
8660387354,1,False,2322,4,0,74,1769141698,,8,15,11,51,0,,3,2026-01-23 04:14:58
8659172466,3,False,2530,4,0,102,1769057458,,1,10,18,51,0,,1,2026-01-22 04:50:58
8659142743,131,True,2777,4,0,105,1769054208,,14,17,10,45,0,,2,2026-01-22 03:56:48
8657961379,3,True,3278,4,0,62,1768973566,,9,24,22,44,0,,2,2026-01-21 05:32:46
8657926118,0,True,3314,4,0,21,1768969762,,15,13,21,45,0,,4,2026-01-21 04:29:22
8656697856,0,True,4433,4,0,40,1768884693,,14,14,18,54,0,,2,2026-01-20 04:51:33
8655482574,1,False,1574,4,0,20,1768802293,,0,4,0,52,2,,2,2026-01-19 05:58:13
8655430853,2,False,2390,22,7,8,1768796793,,0,4,0,54,2,1.0,1,2026-01-19 04:26:33
8653893230,131,True,3096,22,7,44,1768708889,,10,10,16,55,0,1.0,3,2026-01-18 04:01:29
